Datetime,MC_PM25
2024-10-11 04:42:42,8
2024-10-11 04:42:48,8
2024-10-11 04:42:57,8
2024-10-11 04:43:04,8
2024-10-11 04:43:14,8
2024-10-11 04:43:20,9
2024-10-11 04:43:29,9
2024-10-11 04:43:34,9
2024-10-11 04:43:49,9
2024-10-11 04:43:56,9
2024-10-11 04:44:05,9
2024-10-11 04:44:11,9
2024-10-11 04:44:31,9
2024-10-11 04:44:37,9
2024-10-11 04:44:47,9
2024-10-11 04:44:52,9
2024-10-11 04:45:00,9
2024-10-11 04:45:07,9
2024-10-11 04:45:52,7
2024-10-11 04:45:53,8
2024-10-11 04:45:56,7
2024-10-11 04:46:00,7
2024-10-11 04:45:58,7
2024-10-11 04:46:02,7
2024-10-11 04:46:04,7
2024-10-11 04:46:06,7
2024-10-11 04:46:09,8
2024-10-11 04:46:11,7
2024-10-11 04:46:13,7
2024-10-11 04:46:52,7
2024-10-11 04:46:50,7
2024-10-11 04:47:09,7
2024-10-11 04:47:19,7
2024-10-11 04:47:25,7
2024-10-11 04:47:33,7
2024-10-11 04:47:39,7
2024-10-11 04:47:48,7
2024-10-11 04:47:54,7
2024-10-11 04:48:03,7
2024-10-11 04:48:09,7
2024-10-11 04:48:17,7
2024-10-11 04:48:33,7
2024-10-11 04:48:37,7
2024-10-11 04:48:43,7
2024-10-11 04:48:52,7
2024-10-11 04:48:58,7
2024-10-11 04:49:06,7
2024-10-11 04:49:12,7
2024-10-11 04:49:20,7
2024-10-11 04:49:26,7
2024-10-11 04:49:35,7
2024-10-11 04:49:41,7
2024-10-11 04:49:50,7
2024-10-11 04:49:56,8
2024-10-11 04:50:05,8
2024-10-11 04:50:12,8
2024-10-11 04:50:26,7
2024-10-11 04:50:33,7
2024-10-11 04:50:42,7
2024-10-11 04:50:48,7
2024-10-11 04:50:57,7
2024-10-11 04:51:03,8
2024-10-11 04:51:11,8
2024-10-11 04:51:17,8
2024-10-11 04:51:26,8
2024-10-11 04:51:32,8
2024-10-11 04:51:40,8
2024-10-11 04:51:46,7
2024-10-11 04:51:55,7
2024-10-11 04:52:01,7
2024-10-11 04:52:20,7
2024-10-11 04:52:33,7
2024-10-11 04:52:39,7
2024-10-11 04:52:48,7
2024-10-11 04:52:54,8
2024-10-11 04:53:03,8
2024-10-11 04:53:10,8
2024-10-11 04:53:19,8
2024-10-11 04:53:25,8
2024-10-11 04:53:34,7
2024-10-11 04:53:49,7
2024-10-11 04:53:58,7
2024-10-11 04:54:05,7
2024-10-11 04:54:13,7
2024-10-11 04:54:22,7
2024-10-11 04:54:30,7
2024-10-11 04:54:37,7
2024-10-11 04:55:07,8
2024-10-11 04:55:15,7
2024-10-11 04:55:27,8
2024-10-11 04:55:30,8
2024-10-11 04:55:38,7
2024-10-11 04:55:44,7
2024-10-11 04:55:53,7
2024-10-11 04:56:01,7
2024-10-11 04:56:19,7
2024-10-11 04:56:25,7
2024-10-11 04:56:33,6
2024-10-11 04:56:39,6
2024-10-11 04:57:19,6
2024-10-11 04:57:24,7
2024-10-11 04:57:27,7
2024-10-11 04:57:41,7
2024-10-11 04:57:47,7
2024-10-11 04:58:01,7
2024-10-11 04:58:10,7
2024-10-11 04:58:17,7
2024-10-11 04:58:25,7
2024-10-11 04:58:31,7
2024-10-11 04:58:41,7
2024-10-11 04:58:48,7
2024-10-11 04:58:56,7
2024-10-11 04:59:02,7
2024-10-11 04:59:10,7
2024-10-11 04:59:16,7
2024-10-11 04:59:24,7
2024-10-11 04:59:30,7
2024-10-11 04:59:39,7
2024-10-11 04:59:45,7
2024-10-11 04:59:53,7
2024-10-11 04:59:59,7
2024-10-11 05:00:08,7
2024-10-11 05:00:14,7
2024-10-11 05:00:22,6
2024-10-11 05:00:33,7
2024-10-11 05:00:42,7
2024-10-11 05:00:48,7
2024-10-11 05:00:58,7
2024-10-11 05:01:14,7
2024-10-11 05:01:22,7
2024-10-11 05:01:28,7
2024-10-11 05:01:37,7
2024-10-11 05:01:44,7
2024-10-11 05:01:52,7
2024-10-11 05:01:58,7
2024-10-11 05:02:07,7
2024-10-11 05:02:13,7
2024-10-11 05:02:21,7
2024-10-11 05:02:27,7
2024-10-11 05:02:36,6
2024-10-11 05:02:42,7
2024-10-11 05:02:50,7
2024-10-11 05:02:56,7
2024-10-11 05:03:13,7
